X1,Eff..PAI,True.PAI,method1,method2,site,plot,year,month,fcover,se_for_true_PAI,Direct_fapar,Diffuse_fapar,final_FAPAR,plot_code,CF
CE V6.1,1.48,2.58,CE,P180,KOG,6,2015,7,0.719489075,0.070936747,0.729520231,0.748613824,0.744795105,KOG-06,0.573643411
CE V6.1,1.68,2.82,CE,P180,KOG,6,2015,8,0.710244813,0.071333087,0.739409346,0.769009639,0.763089581,KOG-06,0.595744681
CE V6.1,1.68,2.75,CE,P180,KOG,6,2015,9,0.686591394,0.073071403,0.726090043,0.758738681,0.752208953,KOG-06,0.610909091
CE V6.1,1.54,2.62,CE,P180,KOG,6,2015,10,0.708881009,0.074430578,0.719564377,0.746379638,0.741016586,KOG-06,0.58778626
CE V6.1,1.58,2.62,CE,P180,KOG,6,2015,11,0.667207595,0.086037091,0.71263594,0.741213222,0.735497765,KOG-06,0.603053435
CE V6.1,1.25,2.07,CE,P180,KOG,6,2015,12,0.628034794,0.059998655,0.658360608,0.682035472,0.677300499,KOG-06,0.603864734
CE V6.1,1.41,2.36,CE,P180,KOG,6,2016,1,0.519647335,0.062737776,0.6246487,0.671461608,0.662099027,KOG-06,0.597457627
CE V6.1,1.17,2,CE,P180,KOG,6,2016,2,0.579114594,0.05910366,0.630430536,0.660470837,0.654462777,KOG-06,0.585
CE V6.1,1.24,2.04,CE,P180,KOG,6,2016,3,0.637037379,0.062550794,0.6559772,0.680641526,0.675708661,KOG-06,0.607843137
CE V6.1,1.57,2.59,CE,P180,KOG,6,2016,4,0.655364094,0.072577719,0.703618631,0.733471988,0.727501316,KOG-06,0.606177606
CE V6.1,1.47,2.51,CE,P180,KOG,6,2016,5,0.691270132,0.069369901,0.710710392,0.726714638,0.723513789,KOG-06,0.585657371
CE V6.1,1.59,2.67,CE,P180,KOG,6,2017,5,0.62068148,0.049673756,0.687033422,0.725800698,0.718047243,KOG-06,0.595505618
CE V6.1,1.79,3.21,CE,P180,KOG,6,2017,7,0.698220246,0.083584153,0.739858527,0.770960377,0.764740007,KOG-06,0.557632399
CE V6.1,2.19,3.91,CE,P180,KOG,6,2017,8,0.772752142,0.132575386,0.812014281,0.831942231,0.827956641,KOG-06,0.560102302
CE V6.1,1.76,2.96,CE,P180,KOG,6,2017,9,0.70173174,0.082257461,0.738520842,0.767752184,0.761905916,KOG-06,0.594594595
CE V6.1,1.78,3.13,CE,P180,KOG,6,2017,10,0.730989096,0.08836692,0.755853612,0.780890014,0.775882733,KOG-06,0.568690096
CE V6.1,1.5,2.49,CE,P180,KOG,6,2017,11,0.714579174,0.055404921,0.721443303,0.747317095,0.742142336,KOG-06,0.602409639
CE V6.1,1.32,2.25,CE,P180,KOG,6,2017,12,0.519937678,0.072322695,0.609031206,0.655179777,0.645950063,KOG-06,0.586666667
CE V6.1,2.6,4.24,CE,P180,ANK,1,2016,1,0.772751159,0.082638713,0.853425244,0.871963896,0.868256165,ANK-01,0.613207547
